transaction_date,transaction_description,transaction_amount,bank_account_id
10/1/2023,GPU Sale to IBM,-15000.00,bankaccount1
10/1/2023,Consulting Services for Google,-5000.00,bankaccount1
10/1/2023,Office Rent Payment,2500.00,bankaccount1
10/2/2023,Software License Purchase,1200.00,bankaccount1
10/2/2023,Nvidia GPU Procurement,8000.00,bankaccount1
10/2/2023,Employee Salary Payment,4500.00,bankaccount1
10/3/2023,Meta AI Project Milestone Payment,-10000.00,bankaccount1
10/3/2023,Cloud Computing Expenses,800.00,bankaccount1
10/3/2023,Office Supplies Purchase,250.00,bankaccount1
10/4/2023,AI Training Workshop Income,-2500.00,bankaccount1
10/4/2023,Travel Expenses for Client Meeting,750.00,bankaccount1
10/4/2023,Internet and Utilities Payment,300.00,bankaccount1
10/5/2023,GPU Sale to Startup Company,-8000.00,bankaccount1
10/5/2023,Marketing Campaign Expenses,1500.00,bankaccount1
10/5/2023,Professional Development Course,600.00,bankaccount1
10/6/2023,Consulting Services for IBM,-6000.00,bankaccount1
10/6/2023,Health Insurance Premium,1000.00,bankaccount1
10/6/2023,Office Equipment Maintenance,400.00,bankaccount1
10/7/2023,AI Model Licensing Fee from Client,-3500.00,bankaccount1
10/7/2023,Employee Bonus Payment,2000.00,bankaccount1
10/7/2023,Business Lunch with Potential Client,150.00,bankaccount1
10/8/2023,GPU Sale to Research Institution,-12000.00,bankaccount1
10/8/2023,Software Subscription Renewal,500.00,bankaccount1
10/8/2023,Office Cleaning Service,200.00,bankaccount1
10/9/2023,Consulting Services for Meta,-7000.00,bankaccount1
10/9/2023,Tax Payment,5000.00,bankaccount1
10/9/2023,Team Building Event Expenses,800.00,bankaccount1
10/10/2023,AI Algorithm Licensing Fee,-4000.00,bankaccount1
10/10/2023,Legal Services Payment,1500.00,bankaccount1
10/10/2023,Office Furniture Purchase,1200.00,bankaccount1
10/11/2023,GPU Sale to Google,-18000.00,bankaccount1
10/11/2023,Employee Training Program,2000.00,bankaccount1
10/11/2023,Client Refund for Overpayment,500.00,bankaccount1
10/12/2023,Consulting Services for Nvidia,-5500.00,bankaccount1
10/12/2023,Server Maintenance Costs,700.00,bankaccount1
10/12/2023,Business Conference Registration Fee,600.00,bankaccount1
10/13/2023,AI Model Customization Project Income,-9000.00,bankaccount1
10/13/2023,Office Lease Security Deposit,3000.00,bankaccount1
10/13/2023,Employee Expense Reimbursement,350.00,bankaccount1
10/14/2023,GPU Sale to AI Startup,-10000.00,bankaccount1
10/14/2023,Accounting Services Payment,800.00,bankaccount1
10/14/2023,Office Snacks and Beverages,100.00,bankaccount1
10/15/2023,Consulting Services for Tech Startup,-4500.00,bankaccount1
10/15/2023,Employee Health Benefits,1200.00,bankaccount1
10/15/2023,Domain Name Renewal,50.00,bankaccount1
10/16/2023,AI Workshop Income,-3000.00,bankaccount1
10/16/2023,Cloud Storage Upgrade,400.00,bankaccount1
10/16/2023,Office Plant Maintenance,75.00,bankaccount1
10/17/2023,GPU Sale to Research Lab,-14000.00,bankaccount1
10/17/2023,Employee Retirement Plan Contribution,2000.00,bankaccount1
10/17/2023,Business Cards Printing,150.00,bankaccount1
10/18/2023,Consulting Services for IBM,-6500.00,bankaccount1
10/18/2023,Software Development Tools Purchase,1000.00,bankaccount1
10/18/2023,Office Water Delivery Service,80.00,bankaccount1
10/19/2023,AI Model Deployment Project Income,-8500.00,bankaccount1
10/19/2023,Professional Liability Insurance Premium,1500.00,bankaccount1
10/19/2023,Team Lunch Expense,200.00,bankaccount1
10/20/2023,GPU Sale to University,-11000.00,bankaccount1
10/20/2023,Office Security System Upgrade,2000.00,bankaccount1
10/20/2023,Industry Magazine Subscriptions,120.00,bankaccount1
10/21/2023,Consulting Services for Google,-7500.00,bankaccount1
10/21/2023,Employee Performance Bonuses,3000.00,bankaccount1
10/21/2023,Office Supplies Restocking,300.00,bankaccount1
10/22/2023,AI Algorithm Licensing Fee,-5000.00,bankaccount1
10/22/2023,Travel Expenses for AI Conference,1800.00,bankaccount1
10/22/2023,Client Gift Purchase,250.00,bankaccount1
10/23/2023,GPU Sale to Meta,-16000.00,bankaccount1
10/23/2023,Office Renovation Costs,5000.00,bankaccount1
10/23/2023,Team Building Workshop Expenses,1000.00,bankaccount1
10/24/2023,Consulting Services for Startup,-4000.00,bankaccount1
10/24/2023,Marketing Material Design Services,800.00,bankaccount1
10/24/2023,Office Coffee Machine Purchase,500.00,bankaccount1
10/25/2023,AI Training Dataset Purchase,3000.00,bankaccount1
10/25/2023,Employee Transportation Allowance,600.00,bankaccount1
10/25/2023,Office Printer Maintenance,150.00,bankaccount1
10/26/2023,GPU Sale to AI Research Firm,-13000.00,bankaccount1
10/26/2023,Professional Certification Fees for Employees,2500.00,bankaccount1
10/26/2023,Client Meeting Expenses,200.00,bankaccount1
10/27/2023,Consulting Services for Nvidia,-8000.00,bankaccount1
10/27/2023,Office Lease Payment,3500.00,bankaccount1
10/27/2023,Employee Wellness Program Expenses,400.00,bankaccount1
10/28/2023,AI Model Optimization Project Income,-7000.00,bankaccount1
10/28/2023,Business Insurance Premium,1200.00,bankaccount1
10/28/2023,Office Electrical Maintenance,300.00,bankaccount1
10/29/2023,GPU Sale to Tech Startup,-9500.00,bankaccount1
10/29/2023,Employee Education Reimbursement,1500.00,bankaccount1
10/29/2023,Office Plants Purchase,200.00,bankaccount1
10/30/2023,Consulting Services for IBM,-5800.00,bankaccount1
10/30/2023,Software License Renewal,900.00,bankaccount1
10/30/2023,Team Celebration Event,600.00,bankaccount1
10/31/2023,AI Workshop Series Income,-6000.00,bankaccount1
10/31/2023,End-of-Month Payroll,15000.00,bankaccount1
10/31/2023,Office Utilities Payment,450.00,bankaccount1
7/1/2023,GPU Sale to Google,-15000.00,bankaccount1
7/1/2023,Consulting Services for IBM,-5000.00,bankaccount1
7/1/2023,Office Rent Payment,2500.00,bankaccount1
7/2/2023,Software License Purchase,1200.00,bankaccount1
7/2/2023,Utility Bill Payment,350.00,bankaccount1
7/2/2023,Client Meeting Expenses,180.00,bankaccount1
7/3/2023,GPU Sale to Meta,-20000.00,bankaccount1
7/3/2023,Employee Salary Payment,8000.00,bankaccount1
7/3/2023,Office Supplies Purchase,250.00,bankaccount1
7/4/2023,Consulting Services for Nvidia,-7500.00,bankaccount1
7/4/2023,Internet Service Bill,150.00,bankaccount1
7/4/2023,Business Travel Expenses,1200.00,bankaccount1
7/5/2023,GPU Sale to IBM,-18000.00,bankaccount1
7/5/2023,Marketing Campaign Expenses,3000.00,bankaccount1
7/5/2023,Professional Development Course,500.00,bankaccount1
7/6/2023,Licensing Fee from Google,-10000.00,bankaccount1
7/6/2023,Cloud Services Subscription,800.00,bankaccount1
7/6/2023,Client Entertainment Expenses,400.00,bankaccount1
7/7/2023,Consulting Services for Meta,-6000.00,bankaccount1
7/7/2023,Equipment Maintenance,300.00,bankaccount1
7/7/2023,Office Cleaning Service,150.00,bankaccount1
7/8/2023,GPU Sale to Nvidia,-22000.00,bankaccount1
7/8/2023,Insurance Premium Payment,1500.00,bankaccount1
7/8/2023,Team Building Event,600.00,bankaccount1
7/9/2023,Licensing Fee from IBM,-12000.00,bankaccount1
7/9/2023,Software Subscription Renewal,400.00,bankaccount1
7/9/2023,Office Furniture Purchase,2000.00,bankaccount1
7/10/2023,Consulting Services for Google,-8000.00,bankaccount1
7/10/2023,Employee Health Insurance,3000.00,bankaccount1
7/10/2023,Professional Membership Dues,250.00,bankaccount1
7/11/2023,GPU Sale to Meta,-19000.00,bankaccount1
7/11/2023,Legal Services Fee,1800.00,bankaccount1
7/11/2023,Office Snacks and Beverages,100.00,bankaccount1
7/12/2023,Licensing Fee from Nvidia,-11000.00,bankaccount1
7/12/2023,Hardware Upgrade Expenses,5000.00,bankaccount1
7/12/2023,Business Phone System Bill,200.00,bankaccount1
7/13/2023,Consulting Services for IBM,-7000.00,bankaccount1
7/13/2023,Employee Training Workshop,1500.00,bankaccount1
7/13/2023,Office Plant Maintenance,75.00,bankaccount1
7/14/2023,GPU Sale to Google,-21000.00,bankaccount1
7/14/2023,Accounting Services Fee,1000.00,bankaccount1
7/14/2023,Client Gift Expenses,300.00,bankaccount1
7/15/2023,Licensing Fee from Meta,-13000.00,bankaccount1
7/15/2023,Employee Bonus Payment,5000.00,bankaccount1
7/15/2023,Office Security System Upgrade,2500.00,bankaccount1
7/16/2023,Consulting Services for Nvidia,-9000.00,bankaccount1
7/16/2023,Website Hosting Fee,100.00,bankaccount1
7/16/2023,Industry Conference Registration,800.00,bankaccount1
7/17/2023,GPU Sale to IBM,-23000.00,bankaccount1
7/17/2023,Corporate Tax Payment,15000.00,bankaccount1
7/17/2023,Team Lunch Expenses,250.00,bankaccount1
7/18/2023,Licensing Fee from Google,-14000.00,bankaccount1
7/18/2023,IT Support Services,600.00,bankaccount1
7/18/2023,Office Printer Ink Purchase,150.00,bankaccount1
7/19/2023,Consulting Services for Meta,-8500.00,bankaccount1
7/19/2023,Employee Parking Fees,400.00,bankaccount1
7/19/2023,Client Proposal Printing Costs,75.00,bankaccount1
7/20/2023,GPU Sale to Nvidia,-24000.00,bankaccount1
7/20/2023,Software Development Tools,1200.00,bankaccount1
7/20/2023,Office Water Delivery Service,50.00,bankaccount1
7/21/2023,Licensing Fee from IBM,-15000.00,bankaccount1
7/21/2023,Employee Transportation Allowance,1000.00,bankaccount1
7/21/2023,Office Air Conditioning Repair,500.00,bankaccount1
7/22/2023,Consulting Services for Google,-9500.00,bankaccount1
7/22/2023,Professional Certification Fees,700.00,bankaccount1
7/22/2023,Office Stationery Purchase,100.00,bankaccount1
7/23/2023,GPU Sale to Meta,-25000.00,bankaccount1
7/23/2023,Employee Retirement Plan Contribution,4000.00,bankaccount1
7/23/2023,Client Meeting Room Rental,300.00,bankaccount1
7/24/2023,Licensing Fee from Nvidia,-16000.00,bankaccount1
7/24/2023,Marketing Material Design,800.00,bankaccount1
7/24/2023,Office Coffee Machine Purchase,350.00,bankaccount1
7/25/2023,Consulting Services for IBM,-10000.00,bankaccount1
7/25/2023,Employee Wellness Program,1500.00,bankaccount1
7/25/2023,Business Magazine Subscriptions,100.00,bankaccount1
7/26/2023,GPU Sale to Google,-26000.00,bankaccount1
7/26/2023,Data Center Rental Fee,3000.00,bankaccount1
7/26/2023,Office First Aid Kit Refill,50.00,bankaccount1
7/27/2023,Licensing Fee from Meta,-17000.00,bankaccount1
7/27/2023,Employee Performance Awards,2000.00,bankaccount1
7/27/2023,Client Video Conference System,1500.00,bankaccount1
7/28/2023,Consulting Services for Nvidia,-11000.00,bankaccount1
7/28/2023,Cybersecurity Software License,2500.00,bankaccount1
7/28/2023,Office Plant Purchase,200.00,bankaccount1
7/29/2023,GPU Sale to IBM,-27000.00,bankaccount1
7/29/2023,Employee Education Reimbursement,1800.00,bankaccount1
7/29/2023,Business Card Printing,150.00,bankaccount1
7/30/2023,Licensing Fee from Google,-18000.00,bankaccount1
7/30/2023,Technical Book Purchase for Library,300.00,bankaccount1
7/30/2023,Office Carpet Cleaning,250.00,bankaccount1
7/31/2023,Consulting Services for Meta,-12000.00,bankaccount1
7/31/2023,Employee Team Building Retreat,3500.00,bankaccount1
7/31/2023,Office Equipment Depreciation,1000.00,bankaccount1
2/1/2023,GPU Sale to IBM,-15000.00,bankaccount1
2/1/2023,Consulting Services - Google,-5000.00,bankaccount1
2/1/2023,Office Rent Payment,2500.00,bankaccount1
2/2/2023,Software License Renewal,1200.00,bankaccount1
2/2/2023,Cloud Computing Costs,800.00,bankaccount1
2/2/2023,Employee Salary Payment,4500.00,bankaccount1
2/3/2023,Nvidia GPU Purchase,8000.00,bankaccount1
2/3/2023,Client Meeting Expenses,150.00,bankaccount1
2/3/2023,Internet and Utilities,300.00,bankaccount1
2/4/2023,AI Model Training Costs,2000.00,bankaccount1
2/4/2023,Office Supplies Purchase,250.00,bankaccount1
2/4/2023,Marketing Campaign Expense,1000.00,bankaccount1
2/5/2023,Consulting Services - Meta,-7500.00,bankaccount1
2/5/2023,Professional Development Course,500.00,bankaccount1
2/5/2023,Travel Expenses for Client Visit,800.00,bankaccount1
2/6/2023,Hardware Upgrade - Workstations,3000.00,bankaccount1
2/6/2023,Legal Services Fee,1500.00,bankaccount1
2/6/2023,Subscription - AI Research Journal,200.00,bankaccount1
2/7/2023,GPU Sale to Startup Client,-10000.00,bankaccount1
2/7/2023,Cloud Storage Expansion,600.00,bankaccount1
2/7/2023,Team Building Event,400.00,bankaccount1
2/8/2023,Consulting Services - IBM,-6000.00,bankaccount1
2/8/2023,Software Development Tools,1000.00,bankaccount1
2/8/2023,Office Cleaning Service,150.00,bankaccount1
2/9/2023,AI Conference Registration Fees,1200.00,bankaccount1
2/9/2023,Client Refund for Overpayment,500.00,bankaccount1
2/9/2023,Health Insurance Premium,1800.00,bankaccount1
2/10/2023,Licensing Fee Income - Proprietary AI Model,-20000.00,bankaccount1
2/10/2023,Server Maintenance Costs,1500.00,bankaccount1
2/10/2023,Office Furniture Purchase,2000.00,bankaccount1
2/11/2023,Consulting Services - Nvidia,-8000.00,bankaccount1
2/11/2023,Employee Training Program,1000.00,bankaccount1
2/11/2023,Business Insurance Premium,2500.00,bankaccount1
2/12/2023,GPU Sale to Research Institution,-12000.00,bankaccount1
2/12/2023,Cybersecurity Software Upgrade,1800.00,bankaccount1
2/12/2023,Office Snacks and Beverages,200.00,bankaccount1
2/13/2023,Consulting Services - Google,-5500.00,bankaccount1
2/13/2023,Equipment Repair,400.00,bankaccount1
2/13/2023,Professional Membership Dues,300.00,bankaccount1
2/14/2023,Valentine's Day Employee Appreciation Lunch,500.00,bankaccount1
2/14/2023,Cloud-based Collaboration Tools Subscription,250.00,bankaccount1
2/14/2023,Client Gift - AI-powered Smart Home Device,300.00,bankaccount1
2/15/2023,Mid-month Salary Payment,4500.00,bankaccount1
2/15/2023,Data Center Rental Fee,3000.00,bankaccount1
2/15/2023,Office Plant Maintenance,100.00,bankaccount1
2/16/2023,Consulting Services - Meta,-7000.00,bankaccount1
2/16/2023,AI Ethics Consultant Fee,2000.00,bankaccount1
2/16/2023,Team Lunch Meeting,200.00,bankaccount1
2/17/2023,GPU Sale to Tech Startup,-18000.00,bankaccount1
2/17/2023,Software Patent Filing Fees,5000.00,bankaccount1
2/17/2023,Office Internet Upgrade,500.00,bankaccount1
2/18/2023,Weekend Overtime Pay,1000.00,bankaccount1
2/18/2023,AI Research Database Subscription,1500.00,bankaccount1
2/18/2023,Client Demo Equipment Rental,800.00,bankaccount1
2/19/2023,Consulting Services - IBM,-6500.00,bankaccount1
2/19/2023,Digital Marketing Services,1200.00,bankaccount1
2/19/2023,Office Supply Restocking,300.00,bankaccount1
2/20/2023,GPU Purchase for Internal Use,9000.00,bankaccount1
2/20/2023,Employee Wellness Program,600.00,bankaccount1
2/20/2023,Cloud Security Audit,2500.00,bankaccount1
2/21/2023,Licensing Fee Income - AI Algorithm,-15000.00,bankaccount1
2/21/2023,Professional Liability Insurance,3000.00,bankaccount1
2/21/2023,Team Building Workshop,1000.00,bankaccount1
2/22/2023,Consulting Services - Nvidia,-8500.00,bankaccount1
2/22/2023,Hardware Disposal and Recycling,400.00,bankaccount1
2/22/2023,Industry Networking Event Sponsorship,2000.00,bankaccount1
2/23/2023,GPU Sale to AI Research Lab,-20000.00,bankaccount1
2/23/2023,Cloud Computing Platform Migration Costs,5000.00,bankaccount1
2/23/2023,Office Lease Security Deposit,3000.00,bankaccount1
2/24/2023,Consulting Services - Google,-6000.00,bankaccount1
2/24/2023,AI Model Optimization Services,3500.00,bankaccount1
2/24/2023,Employee Transportation Reimbursement,300.00,bankaccount1
2/25/2023,Weekend Client Emergency Support,-2000.00,bankaccount1
2/25/2023,Software License Audit Fees,1500.00,bankaccount1
2/25/2023,Office Equipment Maintenance,400.00,bankaccount1
2/26/2023,Consulting Services - Meta,-7500.00,bankaccount1
2/26/2023,Data Annotation Services,2000.00,bankaccount1
2/26/2023,Team Dinner - Project Completion Celebration,600.00,bankaccount1
2/27/2023,GPU Sale to Financial Institution,-22000.00,bankaccount1
2/27/2023,AI Conference Speaker Fee Income,-3000.00,bankaccount1
2/27/2023,Office Security System Upgrade,1800.00,bankaccount1
2/28/2023,Month-end Salary Payment,4500.00,bankaccount1
2/28/2023,Annual Cloud Services Subscription Renewal,10000.00,bankaccount1
2/28/2023,Utility Bills Payment,500.00,bankaccount1
9/1/2023,GPU Sale to IBM,-15000.00,bankaccount1
9/1/2023,Office Rent Payment,2500.00,bankaccount1
9/1/2023,Internet Service Bill,150.00,bankaccount1
9/2/2023,Consulting Services for Google,-8000.00,bankaccount1
9/2/2023,Employee Salary Payment,5000.00,bankaccount1
9/2/2023,Software License Renewal,500.00,bankaccount1
9/3/2023,GPU Sale to Meta,-12000.00,bankaccount1
9/3/2023,Office Supplies Purchase,200.00,bankaccount1
9/3/2023,Cloud Storage Subscription,100.00,bankaccount1
9/4/2023,Consulting Services for Nvidia,-10000.00,bankaccount1
9/4/2023,Travel Expenses for Client Meeting,800.00,bankaccount1
9/4/2023,Professional Development Course,600.00,bankaccount1
9/5/2023,Licensing Fee from Startup Client,-5000.00,bankaccount1
9/5/2023,Electricity Bill Payment,300.00,bankaccount1
9/5/2023,Marketing Campaign Expenses,1000.00,bankaccount1
9/6/2023,GPU Sale to Startup,-8000.00,bankaccount1
9/6/2023,Employee Health Insurance,1500.00,bankaccount1
9/6/2023,Office Cleaning Service,150.00,bankaccount1
9/7/2023,Consulting Workshop for IBM,-6000.00,bankaccount1
9/7/2023,Legal Services Fee,1000.00,bankaccount1
9/7/2023,Coffee and Snacks for Office,50.00,bankaccount1
9/8/2023,AI Model Customization for Google,-9000.00,bankaccount1
9/8/2023,Equipment Maintenance,400.00,bankaccount1
9/8/2023,Team Building Event,300.00,bankaccount1
9/9/2023,GPU Sale to Research Institute,-20000.00,bankaccount1
9/9/2023,Tax Payment,5000.00,bankaccount1
9/9/2023,Office Furniture Purchase,1200.00,bankaccount1
9/10/2023,Consulting Services for Meta,-11000.00,bankaccount1
9/10/2023,Employee Training Program,800.00,bankaccount1
9/10/2023,Cybersecurity Software Subscription,250.00,bankaccount1
9/11/2023,Licensing Fee from Enterprise Client,-7000.00,bankaccount1
9/11/2023,Phone Service Bill,100.00,bankaccount1
9/11/2023,Client Dinner Expense,200.00,bankaccount1
9/12/2023,GPU Sale to AI Startup,-18000.00,bankaccount1
9/12/2023,Office Equipment Repair,300.00,bankaccount1
9/12/2023,Professional Membership Dues,150.00,bankaccount1
9/13/2023,AI Solution Deployment for IBM,-13000.00,bankaccount1
9/13/2023,Employee Bonus Payment,2000.00,bankaccount1
9/13/2023,Website Hosting Fee,50.00,bankaccount1
9/14/2023,Consulting Services for Nvidia,-9500.00,bankaccount1
9/14/2023,Business Insurance Premium,1000.00,bankaccount1
9/14/2023,Office Plants Purchase,100.00,bankaccount1
9/15/2023,GPU Sale to University,-16000.00,bankaccount1
9/15/2023,Employee Salary Payment,5000.00,bankaccount1
9/15/2023,Software Development Tools Subscription,200.00,bankaccount1
9/16/2023,AI Workshop for Startup Clients,-4000.00,bankaccount1
9/16/2023,Travel Expenses for Conference,1500.00,bankaccount1
9/16/2023,Office Supplies Restocking,150.00,bankaccount1
9/17/2023,Licensing Fee from Tech Company,-6000.00,bankaccount1
9/17/2023,Water Bill Payment,80.00,bankaccount1
9/17/2023,Team Lunch Expense,120.00,bankaccount1
9/18/2023,GPU Sale to Research Lab,-22000.00,bankaccount1
9/18/2023,Marketing Consultant Fee,1000.00,bankaccount1
9/18/2023,Office Internet Upgrade,300.00,bankaccount1
9/19/2023,Consulting Services for Google,-12000.00,bankaccount1
9/19/2023,Employee Retirement Plan Contribution,1500.00,bankaccount1
9/19/2023,Office Printer Ink Purchase,100.00,bankaccount1
9/20/2023,AI Model Training for Meta,-10000.00,bankaccount1
9/20/2023,Accounting Services Fee,800.00,bankaccount1
9/20/2023,Industry Conference Tickets,500.00,bankaccount1
9/21/2023,GPU Sale to Financial Institution,-25000.00,bankaccount1
9/21/2023,Office Rent Payment,2500.00,bankaccount1
9/21/2023,Employee Parking Reimbursement,200.00,bankaccount1
9/22/2023,Consulting Services for IBM,-11000.00,bankaccount1
9/22/2023,Software License Renewal,600.00,bankaccount1
9/22/2023,Office Snack Supply,75.00,bankaccount1
9/23/2023,Licensing Fee from Edu-Tech Company,-8000.00,bankaccount1
9/23/2023,Employee Health and Wellness Program,400.00,bankaccount1
9/23/2023,Business Card Printing,50.00,bankaccount1
9/24/2023,GPU Sale to AI Research Center,-19000.00,bankaccount1
9/24/2023,Legal Consultation Fee,1200.00,bankaccount1
9/24/2023,Office Air Conditioning Repair,350.00,bankaccount1
9/25/2023,AI Solution Customization for Nvidia,-14000.00,bankaccount1
9/25/2023,Employee Training Workshop,1000.00,bankaccount1
9/25/2023,Cloud Computing Resources,500.00,bankaccount1
9/26/2023,Consulting Services for Startup,-7000.00,bankaccount1
9/26/2023,Office Cleaning Supplies,100.00,bankaccount1
9/26/2023,Team Building Workshop,600.00,bankaccount1
9/27/2023,GPU Sale to Tech Giant,-30000.00,bankaccount1
9/27/2023,Employee Salary Payment,5000.00,bankaccount1
9/27/2023,Professional Literature Subscription,75.00,bankaccount1
9/28/2023,AI Model Deployment for Google,-13000.00,bankaccount1
9/28/2023,Office Equipment Upgrade,2000.00,bankaccount1
9/28/2023,Client Gift Expense,150.00,bankaccount1
9/29/2023,Licensing Fee from Healthcare Company,-9000.00,bankaccount1
9/29/2023,Employee Transportation Allowance,300.00,bankaccount1
9/29/2023,Office Plant Maintenance,50.00,bankaccount1
9/30/2023,Consulting Services for Meta,-12000.00,bankaccount1
9/30/2023,Quarterly Tax Payment,8000.00,bankaccount1
9/30/2023,End-of-Month Team Celebration,200.00,bankaccount1
6/1/2023,GPU Sale to IBM,-15000.00,bankaccount1
6/1/2023,Consulting Services for Google,-5000.00,bankaccount1
6/1/2023,Office Rent Payment,2500.00,bankaccount1
6/2/2023,Software License Renewal,1200.00,bankaccount1
6/2/2023,Utility Bill Payment,350.00,bankaccount1
